time_s,pp_cbf_off_minimum_distance_m,pp_cbf_on_minimum_distance_m,project_evaluation_distance_m,pp_cbf_off_cumulative_exposure_s,pp_cbf_on_cumulative_exposure_s
36.81,1.2806248448291067,1.1344837104303307,0.6,2.040000000000001,0.0
36.82,1.2806248448665616,1.13462880314549,0.6,2.040000000000001,0.0
36.83,1.2806248449036395,1.1347737534737559,0.6,2.040000000000001,0.0
36.84,1.280624844940341,1.1349185629190157,0.6,2.040000000000001,0.0
36.85,1.280624844976666,1.1350632350766563,0.6,2.040000000000001,0.0
36.86,1.2806248450126145,1.1352077654867443,0.6,2.040000000000001,0.0
36.87,1.280624845048186,1.1353521538526246,0.6,2.040000000000001,0.0
36.88,1.2806248450833808,1.13549640306831,0.6,2.040000000000001,0.0
36.89,1.2806248451181979,1.1356405110623897,0.6,2.040000000000001,0.0
36.9,1.280624845152637,1.1357844784715942,0.6,2.040000000000001,0.0
36.910000000000004,1.2806248451866977,1.1359283253179164,0.6,2.040000000000001,0.0
36.92,1.2806248452203797,1.1360720182024122,0.6,2.040000000000001,0.0
36.93,1.2806248452536824,1.1362155687193565,0.6,2.040000000000001,0.0
36.94,1.2806248452866054,1.1363589968217485,0.6,2.040000000000001,0.0
36.95,1.2806248453191482,1.1365022838156305,0.6,2.040000000000001,0.0
36.96,1.2806248453513098,1.136645414655066,0.6,2.040000000000001,0.0
36.97,1.2806248453830902,1.1367884250896954,0.6,2.040000000000001,0.0
36.980000000000004,1.2806248454144893,1.1369312822934676,0.6,2.040000000000001,0.0
36.99,1.2806248454455058,1.1370740143263591,0.6,2.040000000000001,0.0
37.0,1.2806248454761395,1.1372165904635039,0.6,2.040000000000001,0.0
37.01,1.2806248455063907,1.1373590458188452,0.6,2.040000000000001,0.0
37.02,1.2806248455362588,1.137501347550661,0.6,2.040000000000001,0.0
37.03,1.280624845565744,1.1376435251610821,0.6,2.040000000000001,0.0
37.04,1.280624845594846,1.1377855642245376,0.6,2.040000000000001,0.0
37.050000000000004,1.280624845623565,1.1379274495909546,0.6,2.040000000000001,0.0
37.06,1.280624845651901,1.1380691953873843,0.6,2.040000000000001,0.0
37.07,1.2806248456798544,1.138210803276179,0.6,2.040000000000001,0.0
37.08,1.2806248457074254,1.1383522763436607,0.6,2.040000000000001,0.0
37.09,1.2806248457346145,1.1384936105954848,0.6,2.040000000000001,0.0
